Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P6_i2,PLAN,2,245,75,158,11,27,14,89,6.5
Baxter,P6_i2,PLAN,3,232,63,148,5,17,4,23,5.9
Baxter,P6_i2,PLAN,5,235,63,151,6,17,4,23,5.9
Baxter,P6_i2,PLAN,10,234,63,151,5,16,3,21,5.9
Baxter,P6_i2,DOMAIN,0.1,266,146,181,24,41,29,229,6.5
Baxter,P6_i2,DOMAIN,1,262,88,179,23,40,29,229,6.5
Baxter,P6_i2,DOMAIN,2,264,79,173,18,34,42,121,6.5
Baxter,P6_i2,DOMAIN,3,252,82,169,14,32,34,93,7.1
Baxter,P6_i2,DOMAIN,5,245,65,162,6,24,27,47,5.9
Baxter,P6_i2,DOMAIN,10,245,64,161,9,23,27,46,5.9
Baxter,P6_i3,SIMU,0.1,510,197,433,261,300,2005,8925,10.5
Baxter,P6_i3,SIMU,1,302,29,217,59,83,238,1001,13
Baxter,P6_i3,SIMU,2,290,18,203,43,66,149,707,16
Baxter,P6_i3,SIMU,3,280,16,192,37,55,109,496,18
Baxter,P6_i3,SIMU,5,269,13,182,32,46,78,346,20
Baxter,P6_i3,SIMU,10,255,11,165,13,27,36,112,20
Baxter,P6_i3,PLAN,0.1,531,197,454,282,317,2005,8925,10.5
Baxter,P6_i3,PLAN,1,268,153,186,30,48,51,338,11.1
Baxter,P6_i3,PLAN,2,278,147,183,21,39,28,199,12.1
Baxter,P6_i3,PLAN,3,253,138,167,19,32,19,132,12.1
Baxter,P6_i3,PLAN,5,243,121,158,10,25,10,66,11.1
Baxter,P6_i3,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P6_i3,DOMAIN,0.1,304,264,214,39,56,54,418,11.1
Baxter,P6_i3,DOMAIN,1,284,165,198,33,54,54,418,11.1
Baxter,P6_i3,DOMAIN,2,284,154,184,26,45,81,220,12.1
Baxter,P6_i3,DOMAIN,3,263,144,179,23,39,59,158,12.1
Baxter,P6_i3,DOMAIN,5,263,125,180,12,42,80,159,11.1
Baxter,P6_i3,DOMAIN,10,263,194,176,13,34,59,98,18.3
Baxter,P6_i4,SIMU,0.1,12546,174,12464,11141,12331,172342,482019,16.7
Baxter,P6_i4,SIMU,1,251,25,157,13,23,22,75,18
Baxter,P6_i4,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,5,TO,-,-,-,-,-,-,-
Baxter,P6_i4,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,0.1,13054,174,12974,11698,12840,172342,482019,16.7
Baxter,P6_i4,PLAN,1,247,176,159,7,26,21,73,16.9
Baxter,P6_i4,PLAN,2,248,186,160,11,24,13,57,17.9
Baxter,P6_i4,PLAN,3,254,176,158,9,23,10,51,16.9
Baxter,P6_i4,PLAN,5,252,196,164,9,24,8,47,18.9
Baxter,P6_i4,PLAN,10,256,246,165,7,24,7,45,23.9
Baxter,P6_i4,DOMAIN,0.1,276,345,195,12,34,21,75,16.9
Baxter,P6_i4,DOMAIN,1,265,193,171,13,27,21,75,16.9
Baxter,P6_i4,DOMAIN,2,259,195,171,10,26,22,68,17.9
Baxter,P6_i4,DOMAIN,3,273,182,177,9,26,22,65,16.9
Baxter,P6_i4,DOMAIN,5,270,200,177,11,32,42,83,18.9
Baxter,P6_i4,DOMAIN,10,270,249,182,14,33,47,87,23.9
Baxter,P6_i5,SIMU,0.1,274,167,183,33,48,165,361,16.1
Baxter,P6_i5,SIMU,1,240,23,153,13,23,21,73,17
Baxter,P6_i5,SIMU,2,244,15,156,10,20,13,57,18
Baxter,P6_i5,SIMU,3,240,12,151,7,20,10,51,18
