Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P7_i5,PLAN,0.2,416,423,328,153,183,559,3152,37.3
Baxter,P7_i5,PLAN,0.5,295,402,210,39,67,119,532,37.6
Baxter,P7_i5,PLAN,1,289,393,205,27,49,57,227,38.1
Baxter,P7_i5,PLAN,2,269,393,185,24,44,36,165,38.1
Baxter,P7_i5,DOMAIN,0.1,299,681,213,36,61,62,352,33.1
Baxter,P7_i5,DOMAIN,0.2,299,516,216,38,62,62,352,33.1
Baxter,P7_i5,DOMAIN,0.5,297,417,212,37,59,62,352,33.1
Baxter,P7_i5,DOMAIN,1,304,384,218,36,60,62,352,33.1
Baxter,P7_i5,DOMAIN,2,309,420,221,29,64,111,314,38.1
Baxter,P4_i1,SIMU,5,222,3,140,4,12,3,13,5
Baxter,P4_i1,SIMU,10,225,3,137,2,11,3,13,10
Baxter,P4_i1,PLAN,5,217,24,142,3,12,3,13,2.2
Baxter,P4_i1,PLAN,10,213,24,141,3,12,3,13,2.2
Baxter,P4_i1,DOMAIN,5,215,25,143,4,12,5,16,2.2
Baxter,P4_i1,DOMAIN,10,215,25,144,5,12,5,16,2.2
Baxter,P4_i2,SIMU,5,443,13,371,181,247,6711,15273,35
Baxter,P4_i2,SIMU,10,228,9,143,8,18,20,65,40
Baxter,P4_i2,PLAN,5,226,93,140,4,15,6,27,8.8
Baxter,P4_i2,PLAN,10,229,143,142,5,16,6,27,13.8
Baxter,P4_i2,DOMAIN,5,238,86,150,2,18,23,46,7.9
Baxter,P4_i2,DOMAIN,10,249,145,162,11,23,51,86,13.8
Baxter,P4_i3,SIMU,5,218,3,135,3,11,3,13,5
Baxter,P4_i3,SIMU,10,213,3,139,2,11,3,13,10
Baxter,P4_i3,PLAN,5,213,46,138,4,12,3,13,4.4
Baxter,P4_i3,PLAN,10,216,46,142,5,14,3,13,4.4
Baxter,P4_i3,DOMAIN,5,232,47,145,5,13,7,18,4.4
Baxter,P4_i3,DOMAIN,10,235,47,150,3,13,7,18,4.4
Baxter,P4_i4,SIMU,5,213,2,138,4,11,3,13,5
Baxter,P4_i4,SIMU,10,211,3,137,2,10,3,13,10
Baxter,P4_i4,PLAN,5,214,48,140,2,12,3,13,4.7
Baxter,P4_i4,PLAN,10,212,48,139,2,12,3,13,4.7
Baxter,P4_i4,DOMAIN,5,217,49,145,3,13,7,18,4.7
Baxter,P4_i4,DOMAIN,10,223,49,139,3,13,7,18,4.7
Baxter,P4_i5,SIMU,5,224,4,135,3,11,4,15,10
Baxter,P4_i5,SIMU,10,219,3,133,2,11,3,13,10
Baxter,P4_i5,PLAN,5,232,98,141,4,14,4,15,9.6
Baxter,P4_i5,PLAN,10,227,98,140,2,12,3,13,9.6
Baxter,P4_i5,DOMAIN,5,244,100,151,3,14,12,24,9.6
Baxter,P4_i5,DOMAIN,10,231,99,153,4,13,12,23,9.6
Baxter,P5_i1,SIMU,5,229,5,145,5,14,5,21,15
Baxter,P5_i1,SIMU,10,237,4,153,4,17,10,41,20
Baxter,P5_i1,PLAN,5,239,103,151,5,16,5,21,10.1
Baxter,P5_i1,PLAN,10,236,103,147,4,16,4,19,10.1
Baxter,P5_i1,DOMAIN,5,243,106,158,6,17,13,30,10.1
Baxter,P5_i1,DOMAIN,10,247,105,161,4,17,13,29,10.1
Baxter,P5_i2,SIMU,5,239,7,152,6,17,11,42,20
Baxter,P5_i2,SIMU,10,242,5,152,8,17,7,36,20
Baxter,P5_i2,PLAN,5,240,126,153,7,19,8,38,12.2
Baxter,P5_i2,PLAN,10,238,126,152,5,20,7,36,12.2
Baxter,P5_i2,DOMAIN,5,259,129,174,20,38,90,169,12.2
Baxter,P5_i2,DOMAIN,10,247,128,162,8,24,32,63,12.2
Baxter,P5_i3,SIMU,5,237,3,147,5,14,4,19,10
Baxter,P5_i3,SIMU,10,232,2,146,2,13,3,17,10
Baxter,P5_i3,PLAN,5,237,66,147,5,15,4,19,6.5
Baxter,P5_i3,PLAN,10,236,66,149,3,15,3,17,6.5
Baxter,P5_i3,DOMAIN,5,258,68,162,6,16,9,25,6.5
Baxter,P5_i3,DOMAIN,10,247,67,159,5,15,9,24,6.5
Baxter,P5_i4,SIMU,5,236,8,150,7,17,10,41,20
Baxter,P5_i4,SIMU,10,239,15,152,8,20,26,71,40
Baxter,P5_i4,PLAN,5,245,221,158,10,27,18,93,21.1
Baxter,P5_i4,PLAN,10,260,449,172,12,31,17,91,43.4
Baxter,P5_i4,DOMAIN,5,271,226,178,15,33,75,154,21.1
Baxter,P5_i4,DOMAIN,10,266,241,179,17,36,85,148,23.4
Baxter,P6_i1,SIMU,5,243,3,156,6,16,8,29,10
Baxter,P6_i1,SIMU,10,241,2,152,5,15,5,23,10
Baxter,P6_i1,PLAN,5,243,76,155,6,17,4,23,7.5
Baxter,P6_i1,PLAN,10,242,76,157,4,16,3,21,7.5
Baxter,P6_i1,DOMAIN,5,251,78,163,5,18,10,30,7.5
Baxter,P6_i1,DOMAIN,10,250,77,163,7,19,10,29,7.5
Baxter,P6_i2,SIMU,5,242,6,154,4,15,4,23,10
Baxter,P6_i2,SIMU,10,246,4,155,6,16,4,23,20
Baxter,P6_i2,PLAN,5,253,63,160,6,17,4,23,5.9
Baxter,P6_i2,PLAN,10,241,63,151,5,16,3,21,5.9
Baxter,P6_i2,DOMAIN,5,254,65,164,10,23,27,47,5.9
Baxter,P6_i2,DOMAIN,10,254,64,167,5,25,27,46,5.9
Baxter,P6_i3,SIMU,5,268,13,183,31,45,78,346,20
Baxter,P6_i3,SIMU,10,255,11,164,12,27,36,112,20
Baxter,P6_i3,PLAN,5,254,121,165,10,25,10,66,11.1
Baxter,P6_i3,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P6_i3,DOMAIN,5,267,125,183,17,42,80,159,11.1
Baxter,P6_i3,DOMAIN,10,269,194,183,12,34,59,98,18.3
Baxter,P6_i4,SIMU,5,240471,35,240345,214798,240208,3464811,9128922,85
Baxter,P6_i4,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,5,293,196,184,9,23,8,47,18.9
Baxter,P6_i4,PLAN,10,265,246,172,6,24,7,45,23.9
Baxter,P6_i4,DOMAIN,5,283,200,190,12,34,42,83,18.9
Baxter,P6_i4,DOMAIN,10,286,249,193,14,35,47,87,23.9
Baxter,P6_i5,SIMU,5,262,13,168,11,22,12,70,25
Baxter,P6_i5,SIMU,10,256,11,160,9,19,8,46,30
